INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,HBCU,PBI,MENONLY,WOMENONLY,RELAFFIL,DISTANCEONLY,UGDS,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,MD_FAMINC,percent_on_student_loan,id_number
Argosy University-The Art Institute of California-Orange County,Santa Ana,CA,92704,Western Association of Schools and Colleges Senior Colleges and University Commission,0,28,3,3,3,11.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,1417.0,29.893958794,0.6097854344,0.1975711015,0.2849493656,15149.50454,80.75,5456
Goshen College,Goshen,IN,46526-4794,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,13.0,13.0,8.0,0.0,0.0,0.0,0.0,69.0,0.0,746.0,23.304225352,0.6169014085,0.1549295775,0.7352112676,52932.7148,59.9,1182
Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,Middle States Commission on Higher Education,1,1,3,4,1,21.0,11.0,8.0,1.0,0.0,0.0,0.0,-2.0,0.0,997.0,20.916546763,0.4877697842,0.0143884892,0.8561151079,23586.69833,82.19,3200
University of Michigan-Flint,Flint,MI,48502-1950,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,12.0,9.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,6565.0,26.075509522,0.6592048112,0.1503508186,0.545272302,28797.90514,72.03,1830
Methodist College,Peoria,IL,61603,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,3,2,12.0,5.0,7.0,0.0,0.0,0.0,0.0,-2.0,0.0,595.0,26.771587744,0.860724234,0.1782729805,0.3676880223,31624.42737,85.83,1095
New York Methodist Hospital Center for Allied Health Education,Brooklyn,NY,11229,Accrediting Bureau of Health Education Schools,1,1,1,1,2,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,227.0,28.069105691,0.5,0.1666666667,0.2357723577,21762.43045,41.94,6030
Orange Technical College-Winter Park Campus,Winter Park,FL,32789-3049,Council on Occupational Education,1,1,1,1,1,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,219.0,29.480263158,0.6809210526,0.1776315789,0.3026315789,13654.01768,0.0,859
Allegany College of Maryland,Cumberland,MD,21502-2596,Middle States Commission on Higher Education,1,1,2,2,1,13.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,2585.0,24.092875989,0.6517150396,0.1356200528,0.6506596306,31567.64917,45.25,1564
St Cloud Technical and Community College,Saint Cloud,MN,56303-1240,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,13.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,4358.0,23.832794593,0.5074933882,0.1010872759,0.6532471349,31906.5455,52.55,1944
Johnson County Community College,Overland Park,KS,66210-1299,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,12.0,1.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,12169.0,25.109499381,0.5574031488,0.1351494782,0.5400672209,26797.02154,16.63,1360
Richmond Community College,Hamlet,NC,28345-1189,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,32.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1948.0,26.273800738,0.6250922509,0.1343173432,0.4671586716,13848.21399,0.0,2756
Linfield College-McMinnville Campus,McMinnville,OR,97128-6894,Northwest Commission on Colleges and Universities,1,2,3,3,2,32.0,12.0,11.0,0.0,0.0,0.0,0.0,52.0,0.0,1643.0,24.367932489,0.6886075949,0.1443037975,0.65907173,62681.0727,64.81,3114
Erie 1 BOCES,West Seneca,NY,14224,Council on Occupational Education,1,1,1,1,1,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,369.0,28.846601942,0.8310679612,0.1766990291,0.2310679612,20717.85052,48.24,5334
American InterContinental University-Online,Schaumburg,IL,60173,North Central Association of Colleges and Schools The Higher Learning Commission,1,4,3,4,3,13.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,1.0,10542.0,33.536191596,0.6798888057,0.2463915321,0.0889019566,10886.96256,89.22,5624
North-West College-Glendale,Glendale,CA,91203,Accrediting Commission of Career Schools and Colleges,0,2,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,187.0,25.892825509,0.813108946,0.1860053144,0.4428697963,15648.04432,98.94,4543
ATA Career Education,Spring Hill,FL,34606,Accrediting Bureau of Health Education Schools,0,2,1,2,3,22.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,206.0,28.021360759,0.9137658228,0.1708860759,0.2484177215,14692.13457,98.25,5691
Saint Johns River State College,Palatka,FL,32177,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,3,1,32.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,5112.0,25.881039653,0.6371209597,0.1719426858,0.5034988337,21976.26199,21.69,832
Virginia College-Greensboro,Greensboro,NC,27406,Accrediting Council for Independent Colleges and Schools,0,33,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,513.0,29.129327399,0.7731618859,0.1807204088,0.2466617211,13449.66401,85.78,6988
Empire Beauty School-Portsmouth,Portsmouth,NH,03801,National Accrediting Commission of Cosmetology Arts and Sciences,0,2,1,1,3,23.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,140.0,24.431623932,0.8974358974,0.1538461538,0.5213675214,20836.92767,11.56,5980
Mount Marty College,Yankton,SD,57078-3724,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,33.0,11.0,8.0,0.0,0.0,0.0,0.0,30.0,0.0,634.0,22.768292683,0.6676829268,0.0914634146,0.7256097561,60154.77655,44.48,3516
River Valley Community College,Claremont,NH,03743-9707,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,2,2,1,41.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,880.0,28.640672783,0.7003058104,0.2018348624,0.3883792049,27674.97204,59.92,2220
EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,00685,Middle States Commission on Higher Education,0,2,2,3,2,21.0,7.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,1067.0,26.881965774,0.6673979816,0.1711276876,0.4949539272,7733.471057,27.2,4205
Northcentral Technical College,Wausau,WI,54401-1899,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,13.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,3699.0,27.5338065,0.5980575271,0.2069480762,0.4209936496,25070.44604,43.46,4136
Opportunities Industrialization Center,Fairmont,WV,26554,Council on Occupational Education,1,1,1,1,2,32.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,64.0,27.595419847,0.9083969466,0.213740458,0.3435114504,12746.33935,89.6,4080
University of Holy Cross,New Orleans,LA,70131-7399,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,11.0,5.0,6.0,0.0,0.0,0.0,0.0,30.0,0.0,846.0,26.009302326,0.8860465116,0.1418604651,0.4186046512,22483.12635,72.19,1509
Paul Mitchell the School-Fayetteville,Fayetteville,NC,28303-5364,National Accrediting Commission of Cosmetology Arts and Sciences,1,4,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,218.0,24.632543103,0.9439655172,0.2338362069,0.4310344828,23603.8931,57.59,2768
Laramie County Community College,Cheyenne,WY,82007-3299,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,23.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,3170.0,25.693844492,0.6123110151,0.2208423326,0.4605831533,27542.59066,40.82,4173
Metro Beauty Academy,Allentown,PA,18106,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,200.0,25.088560886,0.9520295203,0.147601476,0.479704797,24477.28545,61.31,6376
Crowley's Ridge Technical Institute,Forrest City,AR,72335-0925,Council on Occupational Education,1,1,1,1,1,32.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,212.0,25.989726027,0.4520547945,0.1369863014,0.4212328767,10894.23517,0.0,150
New Horizons Medical Institute,Norcross,GA,30071,Council on Occupational Education,1,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,358.0,30.052307692,0.9661538462,0.2369230769,0.1630769231,14436.11648,6.29,7161
Keweenaw Bay Ojibwa Community College,Baraga,MI,49908-0000,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,43.0,2.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,85.0,32.547945205,0.5890410959,0.1643835616,0.1917808219,7749.749907,0.0,6624
Cleveland Community College,Shelby,NC,28152-6224,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,31.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2137.0,27.1223733,0.6427688504,0.1983930779,0.4233621755,15521.61251,0.0,2686
CET-Soledad,Soledad,CA,93960-2996,Council on Occupational Education,0,15,1,1,2,32.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,94.0,30.154853621,0.386492039,0.2064714946,0.2696456086,10404.04811,20.88,6751
Genesis Career College-Cookeville,Cookeville,TN,38501-1907,Council on Occupational Education,1,1,1,1,3,33.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,422.0,26.960219479,0.8436213992,0.2126200274,0.341563786,15018.35116,57.02,3584
Bryant & Stratton College-Albany,Albany,NY,12205,Middle States Commission on Higher Education,0,18,2,3,3,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,480.0,29.343011019,0.7850687136,0.1701126656,0.243902439,13683.44656,86.38,2355
Syracuse University,Syracuse,NY,13244,Middle States Commission on Higher Education,1,1,3,4,2,12.0,14.0,17.0,0.0,0.0,0.0,0.0,-2.0,0.0,14768.0,19.961828859,0.5673238255,0.0157298658,0.9467281879,70254.42836,55.06,2623
Villanova University,Villanova,PA,19085-1699,Middle States Commission on Higher Education,1,1,3,4,2,21.0,14.0,14.0,0.0,0.0,0.0,0.0,30.0,0.0,6895.0,20.683711123,0.5503426463,0.0321560358,0.8929889299,103952.6331,43.37,3407
South Seattle College,Seattle,WA,98106-1499,Northwest Commission on Colleges and Universities,1,1,1,3,1,11.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,1925.0,27.370777027,0.4560810811,0.1190878378,0.4315878378,16094.55621,0.0,4032
Advanced Technology Institute,Virginia Beach,VA,23462,Accrediting Commission of Career Schools and Colleges,1,1,1,2,3,11.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,717.0,25.102728732,0.0368589744,0.233974359,0.5384615385,26320.31078,30.1,3887
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405,Council on Occupational Education,1,1,1,1,2,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,258.0,31.893617021,0.3747954173,0.1129296236,0.1734860884,3588.468941,0.0,1958
Lakeshore Technical College,Cleveland,WI,53015-1414,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,42.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2296.0,27.286941581,0.6194158076,0.1829896907,0.4054982818,27428.96711,30.55,4122
Capital Area School of Practical Nursing,Springfield,IL,62712-3803,Accreditation Commission for Education in Nursing Inc.,1,1,1,1,1,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,139.0,29.636363636,0.9,0.2272727273,0.1363636364,21190.99266,100.0,4497
Catawba College,Salisbury,NC,28144,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,22.0,11.0,11.0,0.0,0.0,0.0,0.0,-2.0,0.0,1274.0,23.01242236,0.550310559,0.0832298137,0.7888198758,42923.28999,73.06,2680
University of Nebraska at Kearney,Kearney,NE,68849-1212,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,32.0,13.0,13.0,0.0,0.0,0.0,0.0,-2.0,0.0,5081.0,21.857077416,0.5868071461,0.0783325699,0.8076042144,52079.09262,49.65,2161
Argosy University-Phoenix,Phoenix,AZ,85021,Western Association of Schools and Colleges Senior Colleges and University Commission,0,28,3,4,3,11.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,205.0,29.893958794,0.6097854344,0.1975711015,0.2849493656,15149.50454,68.04,5243
Ohio Northern University,Ada,OH,45810-1599,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,31.0,14.0,14.0,0.0,0.0,0.0,0.0,71.0,0.0,2234.0,20.147263682,0.5074626866,0.0218905473,0.9412935323,78623.36009,70.1,2955
Blue Cliff College-Fayetteville,Fayetteville,AR,72703,Accrediting Commission of Career Schools and Colleges,0,8,1,1,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,412.0,27.943563609,0.8918459796,0.1619479049,0.2331068328,10994.83686,84.9,5937
Aveda Institute-New York,New York,NY,10013,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,229.0,25.516624041,0.9283887468,0.0767263427,0.4347826087,19267.42549,46.52,5808
Northwest College-Medford,Medford,OR,97504-9998,National Accrediting Commission of Cosmetology Arts and Sciences,0,6,1,1,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,50.0,26.472299169,0.9113573407,0.1648199446,0.3725761773,14364.55876,58.21,7253
Rocky Mountain College,Billings,MT,59102-1796,Northwest Commission on Colleges and Universities,1,1,3,4,2,12.0,12.0,7.0,0.0,0.0,0.0,0.0,76.0,0.0,903.0,20.898488121,0.4578833693,0.0367170626,0.8833693305,58335.25806,79.96,2144
Guam Community College,Mangilao,GU,96913,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,2,2,1,33.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2010.0,23.095663265,0.5899234694,0.0988520408,0.6084183673,16896.16122,0.0,4181
City Colleges of Chicago-Harold Washington College,Chicago,IL,60601-2449,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,11.0,3.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,8513.0,23.397125783,0.5663062038,0.0396983495,0.6630620376,15586.64937,14.25,1018
Eastern Oregon University,La Grande,OR,97850,Northwest Commission on Colleges and Universities,1,1,3,4,1,33.0,7.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,2997.0,27.825166364,0.6394434362,0.2492437992,0.4198427102,27797.57641,54.82,3106
Pennsylvania State University-Penn State York,York,PA,17403-3326,Middle States Commission on Higher Education,0,23,3,4,1,22.0,12.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,948.0,21.701308336,0.4969484439,0.0701352126,0.8119499612,61666.31769,54.16,3333
Aquinas College,Nashville,TN,37205,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,4,2,11.0,5.0,6.0,0.0,0.0,0.0,0.0,30.0,0.0,406.0,27,0.8228571429,0.1714285714,0.4914285714,38059.97873,81.19,3535
Drexel University,Philadelphia,PA,19104,Middle States Commission on Higher Education,1,1,3,4,2,11.0,15.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,16681.0,23.223220118,0.5335510204,0.0839183673,0.7193469388,59408.58348,55.83,3213
Raphael's School of Beauty Culture Inc-Niles,Niles,OH,44446,National Accrediting Commission of Cosmetology Arts and Sciences,1,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,109.0,27.095435685,0.7427385892,0.1493775934,0.3278008299,12602.69666,10.87,2984
Catawba Valley Community College,Hickory,NC,28602-0699,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,13.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,3853.0,25.418854929,0.5893241498,0.1764959105,0.5591907017,21720.24391,8.42,2681
Berkeley City College,Berkeley,CA,94704,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,2,1,12.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,5917.0,25.239202658,0.533934504,0.0697674419,0.5315614618,11467.13257,2.16,550
Medical University of South Carolina,Charleston,SC,29425,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,12.0,11.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,293.0,26.79054917,0.680715198,0.1570881226,0.0906768838,5703.628688,72.68,3476
Lincoln University,Lincoln University,PA,19352-0999,Middle States Commission on Higher Education,1,1,3,4,1,21.0,11.0,11.0,1.0,0.0,0.0,0.0,-2.0,0.0,1576.0,22.46040724,0.5904977376,0.0169683258,0.8337104072,32299.57184,88.36,3281
The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,13.0,14.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,29851.0,21.304352859,0.5978235703,0.0591572123,0.8515860153,63166.00672,40.1,5
Atenas College,Manati,PR,00674,Accrediting Commission of Career Schools and Colleges,1,1,1,3,2,21.0,11.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1363.0,22.235427706,0.676003028,0.0681302044,0.7153671461,0,0.0,5381
Pima Medical Institute-Colorado Springs,Colorado Springs,CO,80909,Accrediting Bureau of Health Education Schools,0,11,1,2,3,11.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,560.0,26.531060119,0.8281506898,0.2110944313,0.3730073629,20276.01286,57.47,5462
Empire Beauty School-Hanover,Hanover,PA,17331,National Accrediting Commission of Cosmetology Arts and Sciences,0,13,1,1,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,86.0,26.096877736,0.931426904,0.1318937847,0.3574555004,13240.6772,58.54,4915
Garnet Career Center,Charleston,WV,25301,Council on Occupational Education,1,1,1,1,1,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,160.0,30.547169811,0.7169811321,0.2955974843,0.1886792453,10687.72268,0.0,5154
Buena Vista University,Storm Lake,IA,50588,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,33.0,13.0,11.0,0.0,0.0,0.0,0.0,66.0,0.0,1892.0,27.06433121,0.6815286624,0.2318471338,0.4808917197,38839.38862,81.95,1252
Eastern Maine Community College,Bangor,ME,04401,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,2,2,1,13.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,2060.0,24.337862878,0.4842495368,0.1111797406,0.6133415689,26212.00037,57.08,1540
Kent State University at Geauga,Burton,OH,44021,North Central Association of Colleges and Schools The Higher Learning Commission,0,8,2,3,1,41.0,5.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,2491.0,22.373018379,0.6240762963,0.0665066633,0.768079328,46566.66712,55.2,2911
American Career College-Los Angeles,Los Angeles,CA,90004,Accrediting Bureau of Health Education Schools,1,3,1,2,3,11.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1613.0,25.653786708,0.7809065934,0.1301510989,0.4337225275,15476.89635,64.97,203
St Clair County Community College,Port Huron,MI,48061-5015,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,23.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,3164.0,24.834828496,0.5862796834,0.1240105541,0.5936675462,22680.50741,22.78,1856
Webster University,Saint Louis,MO,63119-3194,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,21.0,7.0,13.0,0.0,0.0,0.0,0.0,-2.0,0.0,3349.0,24.712019524,0.5552165955,0.1031116534,0.6583282489,39658.02709,64.85,2117
Healing Mountain Massage School,Salt Lake City,UT,84102-4002,Accrediting Bureau of Health Education Schools,1,1,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,91.0,29.137681159,0.7391304348,0.3188405797,0.2246376812,18102.05996,42.0,5447
The University of Virginia's College at Wise,Wise,VA,24293-4400,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,1,32.0,11.0,10.0,0.0,0.0,0.0,0.0,-2.0,0.0,1477.0,21.451570681,0.530104712,0.0667539267,0.8115183246,35742.91183,42.03,3963
Columbia Area Career Center,Columbia,MO,65203-7199,Council on Occupational Education,1,1,1,1,1,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,55.0,30.078431373,0.6862745098,0.2647058824,0.1568627451,21391.5602,43.44,2022
Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,11.0,1.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,8220.0,27.263907967,0.5238667582,0.0940934066,0.4144917582,15804.72825,49.81,1921
The Salon Professional Academy-South Plainfield,South Plainfield,NJ,07080,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,118.0,26.766233766,0.9285714286,0.1103896104,0.3636363636,17569.87721,21.86,7138
Carrington College-San Jose,San Jose,CA,95138,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,7,1,2,3,11.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,805.0,25.634121123,0.8670605613,0.1471196455,0.411521418,16773.83299,60.76,5287
GateWay Community College,Phoenix,AZ,85034,North Central Association of Colleges and Schools The Higher Learning Commission,1,2,1,2,1,11.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,5211.0,29.248898678,0.5718612335,0.1894273128,0.3020374449,18192.29608,21.89,100
Umpqua Community College,Roseburg,OR,97470-0226,Northwest Commission on Colleges and Universities,1,1,2,2,1,41.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1069.0,27.308602999,0.6006314128,0.1846882399,0.4206787687,15690.39863,41.81,3149
Alvin Community College,Alvin,TX,77511-4898,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,4682.0,25.396595745,0.6774468085,0.1727659574,0.4782978723,22995.91012,6.25,3641
DeVry University-New Jersey,North Brunswick,NJ,08902,North Central Association of Colleges and Schools The Higher Learning Commission,0,25,3,4,3,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,1314.0,30.393682856,0.5302737759,0.2859547502,0.1862468439,22237.68396,79.7,7116
Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,78752,Council on Occupational Education,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,294.0,26.420704846,0.5242290749,0.1233480176,0.5198237885,23182.39936,56.87,5592
Midwest Technical Institute-Ridgeland,Ridgeland,MS,39157-6027,Accrediting Commission of Career Schools and Colleges,0,7,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,422.0,27.77014982,0.5503508439,0.1613882041,0.3051393893,15342.50309,79.95,6818
Healthcare Training Institute,Union,NJ,07083,Accrediting Commission of Career Schools and Colleges,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,76.0,28.825938567,0.9283276451,0.1399317406,0.3276450512,20836.92767,78.23,5704
Cogswell College,San Jose,CA,95134,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,3,4,3,11.0,7.0,7.0,0.0,0.0,0.0,0.0,-2.0,0.0,607.0,21.978142077,0.2732240437,0.0300546448,0.7923497268,37072.04044,58.87,287
Technical Career Institutes,New York,NY,10001,Middle States Commission on Higher Education,1,1,2,2,3,11.0,3.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,2761.0,28.364485981,0.3293684509,0.1229113566,0.3868592467,11819.15744,75.8,2627
Paul Mitchell the School-Atlanta,Atlanta,GA,30318,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,305.0,24.301123596,0.9393258427,0.0921348315,0.4898876404,15268.17526,66.59,6157
Connecticut Center for Massage Therapy-Groton,Groton,CT,06340,Commission on Massage Therapy Accreditation,0,3,1,1,3,22.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,137.0,31.638709677,0.7887096774,0.185483871,0.2903225806,26288.30851,81.0,5529
Southwest Institute of Healing Arts,Tempe,AZ,85281,Accrediting Council for Continuing Education & Training,1,1,1,2,3,12.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,943.0,34.684529828,0.9089989889,0.2628918099,0.1334681496,20083.01345,97.01,5495
Casal Institute of Nevada,Las Vegas,NV,89119,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,178.0,26.09375,0.94140625,0.16015625,0.4609375,23871.5228,46.64,6182
University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,78550-5034,National Accrediting Commission of Cosmetology Arts and Sciences,0,3,1,1,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,190.0,25.370611183,0.9570871261,0.2457737321,0.4083224967,14836.13669,69.53,4836
Everest College-Fort Worth South,Ft Worth,TX,76115,Accrediting Council for Independent Colleges and Schools,0,4,1,2,3,11.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,516.0,27.421203438,0.8219570406,0.2448687351,0.2992840095,14452.63378,63.93,6551
CDA Technical Institute,Jacksonville,FL,32208,Accrediting Council for Continuing Education & Training,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,190.0,26.076827757,0.0161090458,0.2131350682,0.3172242875,24762.52332,64.58,5792
Global Health College,Alexandria,VA,22304,Accrediting Council for Independent Colleges and Schools,1,1,1,2,3,12.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,361.0,33.9375,0.8961424332,0.3382789318,0.0860534125,28022.62457,90.94,6194
Cedar Valley College,Lancaster,TX,75134-3799,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,41.0,1.0,3.0,0.0,1.0,0.0,0.0,-2.0,0.0,5962.0,27.846181687,0.5960912052,0.1205211726,0.4144046326,16461.54988,46.46,3662
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,41.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,4293.0,24.877961235,0.6529073941,0.1622397703,0.5265613783,15747.91366,0.0,19
American Academy McAllister Institute of Funeral Service,New York,NY,10019,American Board of Funeral Service Education Committee on Accreditation,1,1,2,2,2,11.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,424.0,30.790523691,0.6608478803,0.2269326683,0.2069825436,21428.05341,56.13,2363
The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,1,11.0,11.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,292.0,28.850574713,0.6666666667,0.2931034483,0.275862069,21446.87583,49.84,4922
Gannon University,Erie,PA,16541-0001,Middle States Commission on Higher Education,1,1,3,4,2,12.0,12.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,2763.0,20.866446826,0.6092333059,0.0379225062,0.9002473207,69795.56828,62.07,3239
