Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
John C Dore Elementary School,ES,6108 S Natoma Ave ,60638,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609893.pdf,No,Strong,74.0,Strong,67,Strong,69.0,Strong,79.0,Average,57,Average,51,Strong,58,Weak,46,95.6%,10.8,96.7%,96.2%,81.8,52.9,58.4,62.7,70.5,68.1,76.9,74,85,69.4,58,60,43.8,25.3,2.6,0.5,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,590,44,NDA,64,CLEARING,23,8,0,609893
John Calhoun North Elementary School,ES,2833 W Adams St ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610243.pdf,No,Average,52.0,Average,51,Average,44.0,Average,54.0,Strong,79,Very Strong,88,Weak,43,Average,48,95.9%,4.6,96.5%,98.1%,71.3,48.8,37.4,28.3,52.2,61.5,50.5,37.9,62.5,69.3,12.5,25,32.8,14.4,3.5,3.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,328,38,NDA,27,EAST GARFIELD PARK,2,11,0,610243
LaSalle Elementary Language Academy,ES,1734 N Orleans St ,60614,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610033.pdf,No,Very Strong,99.0,Strong,79,Strong,62.0,Average,52.0,Weak,39,Average,43,Average,53,Average,48,96.8%,7.0,97.6%,100.0%,86,47.4,81.4,78.3,67.7,76.4,79.2,84.7,73.2,76.5,61,71.2,55.5,49.5,0.3,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,576,33,NDA,7,LINCOLN PARK,43,18,0,610033
Mark Twain Elementary School,ES,5134 S Lotus Ave ,60638,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610206.pdf,No,Strong,67.0,Strong,76,Average,46.0,Average,44.0,Very Strong,84,Strong,71,Strong,60,Strong,60,96.3%,5.3,97.8%,98.3%,84.6,61.1,44.4,48.5,53.2,63.3,49.1,58.1,62.2,55.8,32.1,43.8,32.3,19.8,0.2,-0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1161,44,NDA,56,GARFIELD RIDGE,23,8,0,610206
James G Blaine Elementary School,ES,1420 W Grace St ,60613,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609803.pdf,No,Very Strong,99.0,NDA,NDA,Strong,76.0,Strong,74.0,NDA,NDA,NDA,NDA,Weak,40,Weak,46,96.4%,2.1,96.0%,88.4%,87.5,62.6,88.6,78.5,61.7,62.8,81.9,79.9,56.3,63.6,53.6,73.2,61.3,50.1,0.9,-0.4,Green,Yellow,50,63.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,923,33,NDA,6,LAKE VIEW,44,19,0,609803
Daniel Hale Williams Prep School of Medicine,HS,4934 S Wabash Ave ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610380.pdf,No,Average,50.0,NDA,NDA,Average,45.0,Average,54.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.3%,5.4,96.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,54.5,63.8,55.8,58.5,21.4,33.3,23.7,8.5,-0.9,-1.8,Yellow,Red,64.1,25,15,15.1,15.8,15.4,0.4,17.5,1.7,32.7,NDA,NDA,324,42,90.1,38,GRAND BOULEVARD,3,2,0,610380
Lazaro Cardenas Elementary School,ES,2345 S Millard Ave ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610024.pdf,No,NDA,,Average,58,NDA,,NDA,,Strong,62,Average,58,Average,52,Strong,57,96.3%,3.2,98.5%,100.0%,77.2,59.6,31.9,26.5,41.4,57.7,NDA,NDA,NDA,NDA,NDA,NDA,26.3,15.8,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,654,37,NDA,30,SOUTH LAWNDALE,22,10,0,610024
Nicholas Senn High School,HS,5900 N Glenwood Ave ,60660,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609730.pdf,No,Average,48.0,NDA,NDA,Average,45.0,Average,42.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.7%,41.3,96.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,14.3,14.3,13.9,1.1,15.8,1.5,17.5,40.1,54.4,1053,32,79.8,77,EDGEWATER,48,20,1,609730
James Russell Lowell Elementary School,ES,3320 W Hirsch St ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610044.pdf,No,Weak,39.0,NDA,NDA,Weak,39.0,Average,40.0,NDA,NDA,NDA,NDA,Weak,45,Average,52,93.2%,11.2,95.7%,100.0%,52.7,40.9,20.6,18.5,39.5,50.3,42.3,28.4,66.4,52.2,8,26,10.2,8.2,0.2,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,593,34,NDA,23,HUMBOLDT PARK,26,14,1,610044
Louisa May Alcott Elementary School,ES,2625 N Orchard St ,60614,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609774.pdf,No,NDA,,Strong,66,NDA,,NDA,,Average,56,Average,57,Strong,60,Weak,41,96.6%,3.7,97.1%,93.2%,85.1,75.1,72.6,76.9,56.4,55.2,73.1,70.7,69.2,59.8,43.5,47.8,52.6,46.1,0.4,0.3,Yellow,Yellow,50,73.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,481,35,NDA,7,LINCOLN PARK,43,19,0,609774
Alex Haley Elementary Academy,ES,11411 S Eggleston Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609808.pdf,No,Weak,28.0,NDA,NDA,Average,58.0,Strong,60.0,NDA,NDA,NDA,NDA,Average,47,Average,49,94.9%,2.9,94.7%,94.7%,51.6,31.4,17.3,13.6,43.7,41.4,36.3,24.5,64.8,53.9,1.8,16.1,11.6,1.9,0.5,-1.5,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,525,48,NDA,49,ROSELAND,34,22,0,609808
Burnham Elementary Inclusive Academy,ES,1903 E 96th St ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609821.pdf,No,Strong,61.0,Strong,77,Very Strong,85.0,Very Strong,99.0,Strong,65,Strong,71,Strong,54,Average,47,95.5%,29.4,96.9%,96.0%,75.9,65.1,59.1,43.6,61.1,79.6,77.2,58.7,57.5,65.5,8.7,26.1,36.5,22.0,1.3,0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,286,47,NDA,51,SOUTH DEERING,7,4,0,609821
Frank I Bennett Elementary School,ES,10115 S Prairie Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609800.pdf,No,Average,46.0,Average,46,Average,55.0,Strong,66.0,Average,55,Average,56,Average,47,Weak,45,92.5%,6.5,95.9%,100.0%,57.2,41.9,35.3,27.4,56.2,56.7,55.2,34.2,60.5,58.6,10,40,13.7,8.4,0.7,0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,504,48,NDA,49,ROSELAND,9,5,1,609800
Francis M McKay Elementary School,ES,6901 S Fairfield Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610067.pdf,No,Weak,23.0,Average,48,Weak,37.0,Average,54.0,Strong,67,Strong,61,Average,48,Average,51,93.5%,9.1,95.1%,100.0%,51.4,34.2,16,13,33.2,47.6,23.4,21.6,59.1,47.5,5.1,13.9,5.7,5.7,-0.6,0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,891,43,NDA,66,CHICAGO LAWN,18,8,1,610067
Frederick A Douglass Academy High School,HS,543 N Waller Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610245.pdf,No,Average,44.0,NDA,NDA,Weak,39.0,Weak,37.0,NDA,NDA,NDA,NDA,Average,50,Weak,44,79.2%,28.0,94.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,12.3,13.8,13.5,0.5,14.8,1,5.1,52.8,39.5,354,36,77.1,25,AUSTIN,29,15,1,610245
Theodore Roosevelt High School,HS,3436 W Wilson Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609728.pdf,No,Average,42.0,NDA,NDA,Average,42.0,Weak,37.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,82.3%,9.7,96.1%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.9,13.4,14.3,14,1.1,15.7,1.4,13.7,59.4,42.9,1490,31,61.2,14,ALBANY PARK,33,17,1,609728
Mahalia Jackson Elementary School,ES,917 W 88th St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610369.pdf,No,Weak,38.0,NDA,NDA,Average,54.0,Strong,66.0,NDA,NDA,NDA,NDA,Weak,46,Average,51,92.5%,35.7,94.6%,96.6%,57.8,44.4,14.8,24.4,47.8,44.6,24.4,31.1,54.2,48.1,6.7,6.9,7.6,9.2,-0.3,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,323,49,NDA,71,AUBURN GRESHAM,21,22,1,610369
John W Garvy Elementary School,ES,5225 N Oak Park Ave ,60656,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609937.pdf,No,Strong,60.0,Strong,70,Average,50.0,Average,51.0,Average,51,Average,55,Strong,56,Average,49,95.3%,10.2,96.5%,97.3%,83.4,43.6,63.9,57.8,58.1,63.9,60.6,59.4,51.4,55.3,38.4,49.3,34.4,33.5,-0.1,0.2,Yellow,Yellow,44.6,45.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,720,30,NDA,10,NORWOOD PARK,41,16,0,609937
William E Dever Elementary School,ES,3436 N Osceola Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609884.pdf,No,Strong,67.0,Strong,66,Strong,60.0,Strong,78.0,Weak,37,Weak,36,Average,50,Average,48,95.5%,2.1,95.9%,100.0%,71.1,34.9,60.8,51.1,62.9,66.3,73.5,57.6,68.6,63.8,20,46.7,31.5,27.9,0.4,1.3,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,843,30,NDA,17,DUNNING,36,16,0,609884
John B Murphy Elementary School,ES,3539 W Grace St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610089.pdf,No,Very Strong,80.0,NDA,NDA,Strong,75.0,Average,59.0,NDA,NDA,NDA,NDA,Strong,58,Strong,54,95.6%,1.9,96.3%,100.0%,61.3,NDA,43.4,30.5,40.6,45.9,64.3,44.8,46.7,40.7,NDA,NDA,22.0,20.7,-0.5,-0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,638,31,NDA,16,IRVING PARK,35,17,0,610089
Gwendolyn Brooks College Preparatory Academy High School,HS,250 E 111th St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609726.pdf,No,Strong,64.0,NDA,NDA,Average,44.0,Average,49.0,NDA,NDA,NDA,NDA,Average,47,Average,49,87.1%,0.1,95.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,18,18.2,18.7,18.7,0.7,21.5,2.8,51.1,88.1,87.9,783,48,90.3,49,ROSELAND,9,5,0,609726
James Otis Elementary School,ES,525 N Armour St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610107.pdf,No,Very Strong,83.0,Very Strong,92,Strong,67.0,Average,58.0,Very Strong,92,Very Strong,94,Strong,54,Strong,54,95.5%,3.2,96.5%,100.0%,50.9,47.1,35.9,46.6,53.4,63.1,51.4,55,61.3,57.7,25.8,19.4,21.8,11.1,0.7,-0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,491,35,NDA,24,WEST TOWN,27,13,1,610107
John Harvard Elementary School of Excellence,ES,7525 S Harvard ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609971.pdf,No,Average,51.0,Weak,24,Strong,61.0,Strong,61.0,Average,43,Weak,36,Average,47,Strong,55,93.0%,8.7,96.0%,97.8%,NDA,NDA,25.6,28.2,42.7,46.8,50,38.9,58.8,53.1,14.6,23.1,13.8,7.7,1.2,0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,476,45,NDA,69,GREATER GRAND CROSSING,17,6,1,609971
John Marshall Metropolitan High School,HS,3250 W Adams St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609723.pdf,No,Average,51.0,Average,52,Average,45.0,Average,46.0,Average,49,Average,42,NDA,NDA,NDA,NDA,74.1%,42.9,95.8%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.7,11.8,13.4,13.2,1.5,14.6,1.2,6.5,36.8,45.2,726,38,55.2,27,EAST GARFIELD PARK,28,11,1,609723
Spry Community Links High School,HS,2400 S Marshall Blvd ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610357.pdf,No,Strong,70.0,NDA,NDA,Very Strong,92.0,Very Strong,87.0,NDA,NDA,NDA,NDA,Strong,56,Average,51,95.6%,9.7,95.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.3,14.6,15.5,15.9,1.6,16.9,1.4,35,73.7,65.2,205,39,92.8,30,SOUTH LAWNDALE,12,10,0,610357
Chicago Academy High School,HS,3400 N Austin Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610340.pdf,No,Average,58.0,Weak,35,Average,57.0,Average,53.0,Average,56,Average,57,NDA,NDA,NDA,NDA,93.1%,6.3,96.1%,97.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.4,16.3,16.1,1.5,18.4,2.1,23.9,70.1,64.2,502,30,80.6,17,DUNNING,38,16,0,610340
Crispus Attucks Elementary School,ES,5055 S State St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609781.pdf,No,Average,45.0,Strong,76,Strong,64.0,Average,57.0,Very Strong,81,Very Strong,85,NDA,NDA,NDA,NDA,95.2%,12.5,93.5%,100.0%,64.7,66.7,25.3,9.9,42.4,53.5,16,16.5,53.3,32.4,3.1,9.4,7.6,10.0,-0.3,-2.0,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,274,42,NDA,38,GRAND BOULEVARD,3,2,1,609781
Sauganash Elementary School,ES,6040 N Kilpatrick Ave ,60646,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610155.pdf,No,Very Strong,99.0,NDA,NDA,Strong,76.0,Strong,61.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.3%,1.5,95.4%,92.9%,85.6,50.4,68.5,75.7,66.9,70.2,81.4,80.1,58.7,57.8,57.1,69.6,49.1,34.5,2.2,0.3,Green,Yellow,35.7,78.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,549,31,NDA,12,FOREST GLEN,39,17,0,610155
Francis Scott Key Elementary School,ES,517 N Parkside Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610020.pdf,No,Weak,37.0,NDA,NDA,Average,49.0,Strong,64.0,NDA,NDA,NDA,NDA,Weak,44,Weak,45,91.9%,39.6,94.0%,100.0%,54.5,44.4,27.2,26.3,59.8,55.1,26.9,25.9,69.4,63.3,7.5,7.5,11.3,5.9,0.9,1.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,301,36,NDA,25,AUSTIN,29,15,1,610020
Horatio May Elementary Community Academy,ES,512 S Lavergne Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610058.pdf,No,Average,42.0,NDA,NDA,Average,47.0,Average,56.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.9%,40.0,96.4%,98.2%,63.3,58.8,17.5,17.5,54,51.4,27.1,25,58.6,58.6,4.6,13.8,9.4,5.6,-0.4,-0.8,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,458,36,NDA,25,AUSTIN,29,15,1,610058
Ariel Elementary Community Academy,ES,1119 E 46th St ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609951.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,51,Average,50,95.5%,5.4,96.0%,100.0%,70.8,34.3,48.4,43,62,58.6,40,47.1,58.6,49.3,14.6,36.6,24.8,14.4,0.0,-1.6,Yellow,Red,35,28.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,550,42,NDA,39,KENWOOD,4,2,0,609951
Air Force Academy High School,HS,3630 S Wells St ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610513.pdf,Yes,Average,49.0,Strong,60,Strong,60.0,Average,55.0,Average,45,Average,54,Average,53,Average,49,93.3%,15.6,96.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.8,NDA,16,1.4,NDA,NDA,NDA,NDA,NDA,302,40,91.8,34,ARMOUR SQUARE,11,9,0,610513
Marie Sklodowska Curie Metropolitan High School,HS,4959 S Archer Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609756.pdf,No,Average,43.0,Weak,35,Weak,37.0,Average,45.0,Weak,33,Weak,39,NDA,NDA,NDA,NDA,85.0%,9.1,95.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.2,14.2,15.6,15.1,0.9,16.9,1.3,22.9,76.1,61.3,3320,37,61,57,ARCHER HEIGHTS,14,8,1,609756
William K New Sullivan Elementary School,ES,8331 S Mackinaw ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610193.pdf,No,Weak,27.0,Average,42,Weak,35.0,Average,40.0,Average,58,Weak,33,Average,47,Strong,54,90.3%,27.3,94.0%,97.8%,34.1,17.1,17.8,14.1,42.9,51.5,10.2,21,56.6,52.5,0,6.7,2.9,5.8,-0.9,0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,527,47,NDA,46,SOUTH CHICAGO,10,4,1,610193
New Field Elementary School,ES,1707 W Morse Ave ,60626,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610284.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,51,Strong,56,96.2%,3.1,95.6%,99.0%,74.2,52.7,32.1,25.2,40.4,55.9,NDA,NDA,NDA,NDA,NDA,NDA,23.2,10.9,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,696,32,NDA,1,ROGERS PARK,49,24,0,610284
John L Marsh Elementary School,ES,9822 S Exchange Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610054.pdf,No,Strong,72.0,Average,53,Average,53.0,Weak,39.0,Average,55,Average,48,Average,50,Strong,55,95.7%,5.4,95.5%,99.1%,55.8,37.6,34.5,34.9,53.2,58.7,33.5,44.9,50.8,52.2,11.1,31.1,18.9,14.5,-0.9,-0.8,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,841,47,NDA,51,SOUTH DEERING,10,4,1,610054
Collins Academy High School,HS,1313 S Sacramento Dr ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610499.pdf,No,Strong,60.0,Average,42,Average,51.0,Average,46.0,Average,47,Average,48,Strong,54,Strong,56,91.4%,2.9,96.6%,98.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.5,12.5,14.2,14.1,1.6,15.6,1.4,20.5,NDA,NDA,409,37,70.4,29,NORTH LAWNDALE,24,10,0,610499
Wells Community Academy High School,HS,936 N Ashland Ave ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609740.pdf,No,Average,51.0,Average,49,Average,41.0,Weak,38.0,Strong,65,Average,49,NDA,NDA,NDA,NDA,74.1%,16.9,96.2%,96.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,12.4,14.2,13.6,0.8,14.9,0.7,7.2,59.3,43.8,633,35,61.3,24,WEST TOWN,1,13,1,609740
John H Vanderpoel Elementary Magnet School,ES,9510 S Prospect Ave ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610207.pdf,No,Strong,74.0,NDA,NDA,Weak,24.0,Weak,31.0,NDA,NDA,NDA,NDA,Strong,55,Average,50,97.2%,0.3,96.2%,100.0%,81.6,69.8,51.7,47.7,53.5,59.8,42.7,54.5,35.7,55.9,11.1,38.9,17.7,24.1,-0.3,1.0,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,317,49,NDA,72,BEVERLY,19,22,0,610207
John F Eberhart Elementary School,ES,3400 W 65th Pl ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609898.pdf,No,Average,42.0,Average,41,Weak,33.0,Weak,34.0,Average,42,Weak,32,NDA,NDA,NDA,NDA,95.3%,13.1,95.6%,100.0%,48.2,27.3,28.2,31.4,52.4,49.5,32.8,39.9,50.4,51.3,10.2,20.9,8.9,9.6,-1.5,-0.7,Red,Red,15.9,17.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1777,44,NDA,66,CHICAGO LAWN,15,8,1,609898
Oliver S Westcott Elementary School,ES,409 W 80th St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610300.pdf,No,Weak,30.0,Average,41,Average,48.0,Average,54.0,Average,47,Average,47,Weak,46,Average,48,92.6%,31.5,94.8%,100.0%,NDA,14.7,36.4,27.9,50.4,48.5,27.9,31.3,43.5,51.5,6,20,7.0,6.0,0.3,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,413,45,NDA,44,CHATHAM,21,6,1,610300
Mildred I Lavizzo Elementary School,ES,138 W 109th St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610208.pdf,No,Very Weak,15.0,Weak,35,Average,41.0,Average,46.0,Weak,39,Weak,30,Average,48,Average,51,91.5%,39.1,95.0%,95.7%,49.6,33.3,5.7,15.6,35.7,39.8,24.3,30.1,65.6,68.9,4.3,17,6.1,4.6,0.6,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,394,48,NDA,49,ROSELAND,34,5,1,610208
Peter Cooper Elementary Dual Language Academy,ES,1624 W 19th St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609867.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.2%,5.7,96.3%,100.0%,62.7,28.7,37.1,26.1,43.5,44.6,NDA,NDA,NDA,NDA,NDA,NDA,9.6,10.7,0.5,1.3,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,709,39,NDA,31,LOWER WEST SIDE,25,12,0,609867
George Rogers Clark Elementary School,ES,1045 S Monitor Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609795.pdf,No,Weak,39.0,NDA,NDA,Weak,32.0,Weak,36.0,NDA,NDA,NDA,NDA,Average,47,Average,51,93.9%,14.4,96.4%,100.0%,80,74.1,56.8,37.5,60.7,71.1,60.5,46.6,57.5,56.1,30,33.3,22.0,15.3,1.2,0.7,Green,Yellow,29,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,297,36,NDA,25,AUSTIN,29,15,0,609795
